Organization Name,Legacy_Account_ID,Contact ID,ACT_LegacyID,MembershipWorks_ID,Contact Name,Address,City,State,Postal Code,Country,Email Address,Phone,Website,Self-Study Enrollment Date,Self-Study Expires,Award Date,Award Expiration,County,Licensed Capacity,Number of Classrooms,Number of Staff,Days of Operation,Hours of Operation,Accredited Program,Affiliate Membership,accredited_program,Join Date
Bright Horizons at Scottsdale Lincoln Health Network,AE5591603-CA6B-4B80-AED5-005BF732E8C8,CE5591603-CA6B-4B80-AED5-005BF732E8C8,CE5591603-CA6B-4B80-AED5-005BF732E8C8,5dfaa4f1e79c695b3b30de33,Caitlin Henhoeffer,10028 N. 92nd St.,Scottsdale,AZ,85258,US,scottsdale@brighthorizons.com,480-323-4630,www.childrenschoice.com,8/30/2019,8/30/2021,8/3/2017,8/3/2021,Maricopa,159,11,36,M-F,6:00 - 8:00,Accredited Program,,accredited_program,23-May-11
KinderCare Learning Center #000112,,,,5dfaa4ebe79c695b3b30dda6,Adriana Bryant,400 Celebration Blvd.,Celebration,FL,34747,US,000112@kindercare.com;celebration@kindercare.com,407-566-2445,www.kindercare.com/,1/25/2018,1/25/2020,1/19/2016,1/19/2020,Osceola,216,11,23,M-F,6:30-6:30,Accredited Program,,accredited_program,11-Jan-11
Sherwood Preschool Academy,,,,5dfaa4ebe79c695b3b30dda7,Adriana Lovera-Fortuna,8232 Wiles Road,Coral Springs,FL,33067,US,adriana@sherwood-academy.com,954-345-5700,,6/27/2017,6/27/2019,3/5/2019,3/5/2023,Broward,136,10,12,M-F,6:30 - 6:30,Accredited Program,,accredited_program,7-Feb-13
Children's Learning Lab @ Tulsa Tech,,,,5dfaa4ebe79c695b3b30dda8,Adrienne Thompson,3850 N. Peoria Ave.,Tulsa,OK,74106,US,adrienne.thompson@tulsatech.edu,918-828-2052,,8/28/2018,8/28/2020,7/27/2016,7/27/2020,Osage,55,5,11,M-F,7:00 - 5:30,Accredited Program,,accredited_program,28-Sep-05
Reading Rainbow Academy III,,,,5dfaa4ebe79c695b3b30dda9,Aisha Yasin,2439 W. Mitchell St.,Milwaukee,WI,53204,US,aishaacademy@yahoo.com,414-383-9676,,9/18/2018,9/18/2020,9/19/2016,9/19/2020,Milwaukee,50,5,10,M-F,6:30 - 6:30,Accredited Program,,accredited_program,24-Mar-14
"Winter Park Day Nursery, Inc.",,,,5dfaa4ebe79c695b3b30ddaa,Alessandra DeMaria,741 S. Pennsylvania Ave.,Winter Park,FL,32789,US,exec@wpdaynursery.org,407-647-0505,winterparkdaynursery.org/,11/13/2017,11/13/2019,7/8/2019,7/8/2023,Orange,95,5,14,M-F,7:00 - 6:00,Accredited Program,,accredited_program,21-Feb-08
Westhampton Day School,,,,5dfaa4ece79c695b3b30ddab,Alex Strabley,6100 Patterson Ave.,Richmond,VA,23226,US,alexstrabley@westhamptondayschool.org,804-282-7459,www.westhamptondayschool.org,8/14/2017,8/14/2019,5/31/2019,5/31/2023,Richmond,160,14,32,M-F,7:30-6:00,Accredited Program,,accredited_program,21-Nov-12
R'Club Early Learning Academy @ 94th Ave.,,,,5dfaa4ece79c695b3b30ddac,Alexis Goodwine,4920 94th Avenue N.,Pinellas Park,FL,33782,US,ela-94th@rclub.net,727-544-4651,rclub.net,11/27/2017,11/27/2019,10/24/2019,10/24/2023,Pinellas,88,4,9,M-F,6:30 - 6:00,Accredited Program,,accredited_program,20-Jun-02
"The Early Years, Inc.",,,,5dfaa4ece79c695b3b30ddad,Alexis McNece,750 Fountains Pkwy.,Collinsville,IL,62234,US,theearlyyears@sbcglobal.net,618-624-5624,,8/3/2017,8/3/2019,7/30/2019,7/30/2020,St. Clair,109,5,13,M-F,6:00 - 6:00,Accredited Program,,accredited_program,2-Jun-09
Opportunity Early Childhood Education and Family Center,,,,5dfaa4ece79c695b3b30ddae,Alice Eger,4171 Westgate Ave.,West Palm Beach,FL,33409,US,aeger@opportunitypbc.org,561-712-9221,www.opportunitypbc.org,8/30/2016,8/30/2018,7/23/2018,7/23/2022,Palm Beach,208,7,27,M-F,7:00 - 6:00,Accredited Program,,accredited_program,13-Apr-07
Rogy's Learning Place Lake,,,,5dfaa4ece79c695b3b30ddaf,Alisa Sweatt,702 E. Lake St.,Peoria Heights,IL,61616,US,director.lakestreet@pca-schools.com,309-686-9155,www.rogys.com/,8/25/2017,8/25/2019,5/27/2019,5/27/2023,Peoria,102,7,22,M-F,6:30 - 6:00,Accredited Program,,accredited_program,5-Dec-01
Early Explorations,,,,5dfaa4ece79c695b3b30ddb0,Allyson Urbanski,47 N. Research Drive,Edwardsville,IL,62025,US,allyurbanski9@gmail.com,618 659-1438,www.early-explorations.com,8/2/2019,8/2/2021,3/27/2017,3/27/2021,Madison,136,8,23,M-F,6:30 - 6:00,Accredited Program,,accredited_program,
Belleville Early Learning Center,,,,5dfaa4ece79c695b3b30ddb1,Alyssa Kriebs,129 Greenway Cross,Belleville,WI,53508,US,alyssa@bellevilleearlylearningcenter.com,608-424-1818,,1/9/2020,1/9/2022,1/18/2018,1/18/2022,Dane,100,8,7,M-F,6:30 - 6:00,Accredited Program,,accredited_program,16-May-16
Oxford Academy of Miramar,,,,5dfaa4ece79c695b3b30ddb2,Amanda Chiappa,6138 SW 30th St.,Miramar,FL,33023,US,amanda.chiappa@mycircletime.net;amy.ackermann@mycircletime.net;bubion@bellsouth.net,954-987-8004,,6/28/2018,6/28/2020,6/28/2016,6/28/2020,Broward,50,5,9,M-F,6:00 - 7:00,Accredited Program,,accredited_program,11-May-07
Kid-Tastic,,,,5dfaa4ece79c695b3b30ddb3,Amanda Davis,3030 W. Highland Blvd.,Milwaukee,WI,53208,US,info@yourkidtastic.com;ajames@yourkidtastic.com,414-502-5515,,7/25/2019,7/25/2021,7/24/2017,7/24/2021,Milwaukee,90,5,10,M-F,6:00 - 6:00,Accredited Program,,accredited_program,30-Jan-15
Faith Early Learning Center,,,,5dfaa4ece79c695b3b30ddb4,Amanda Grados,7750 Beneva Road,Sarasota,FL,34238,US,director@faithsarasota.com,941-923-2509,www.faithearlylearning.org,5/6/2019,5/6/2021,5/8/2017,5/8/2021,Sarasota,70,5,9,M-F,8:00 - 5:00,Accredited Program,,accredited_program,5-Nov-14
KinderCare Learning Center #300788,,,,5dfaa4ece79c695b3b30ddb5,Amanda Grant,6826 Everhart Road,Corpus Christi,TX,78413,US,300788@klcorp.com;amgrant@kindercare.com,361-991-3300,www.kindercare.com/,8/22/2019,8/22/2021,9/5/2017,9/5/2021,Nueces,107,7,19,M-F,6:00 - 6:30,Accredited Program,,accredited_program,23-Jan-08
KinderCare Learning Center #301743,,,,5dfaa4ece79c695b3b30ddb6,Amanda Johnson,150 S. Wildflower Lane,Schaumburg,IL,60193,US,301743@klcorp.com,847-413-9980,www.kindercare.com/,8/7/2018,8/7/2020,8/4/2016,8/4/2020,Cook,175,7,17,M-F,6:00 - 6:30,Accredited Program,,accredited_program,25-May-04
Koala-T-Kare,,,,5dfaa4ece79c695b3b30ddb7,Amanda Johnson,6300 Enterprise Lane,Madison,WI,53719,US,info@koala-t-kare.com,608 287-4158,www.greatkidcare.com,6/13/2017,6/13/2019,4/17/2019,4/17/2023,Dane,63,5,16,M-F,6:30 - 6:00,Accredited Program,,accredited_program,7-Aug-14
Trinity Child Development Center,,,,5dfaa4ece79c695b3b30ddb8,Amanda Milligan,1322 NW 24th St.,Oklahoma City,OK,73106,US,amilligan@stlukesokc.org,(405) 525-6937,,7/26/2017,7/26/2019,7/31/2018,7/31/2022,Oklahoma,145,13,30,M-F,6:30 - 6:00,Accredited Program,,accredited_program,27-Jul-17
St. Luke's Children's Center,,,,5dfaa4ece79c695b3b30ddb9,Amanda Moon,222 N.W. 15th St.,Oklahoma City,OK,73103,US,amoon@stlukesokc.org,405-232-2391,stlukesokc.org,10/19/2018,10/19/2020,10/20/2016,10/20/2020,Oklahoma,220,17,55,M-F,6:30 - 6:00,Accredited Program,,accredited_program,16-May-07
KinderCare Learning Center #000749,,,,5dfaa4ece79c695b3b30ddba,Amanda Pecina,6434 S. Congress Ave.,Austin,TX,78745,US,000749@kindercare.com,512-443-7765,www.kindercare.com/,7/3/2018,7/3/2020,7/5/2016,7/5/2020,Travis,150,7,15,M-F,6:30 - 6:30,Accredited Program,,accredited_program,27-Mar-09
Montessori Global Research Institute,,,,5dfaa4ece79c695b3b30ddbb,Ambar Saleh-Cipolloni,53 N. Old Kings Road,Ormond Beach,FL,32174,US,themontessorischooloformond@gmail.com,386-492-7165,,10/16/2018,10/16/2020,9/22/2016,9/22/2020,Volusia,78,2,8,M-F,7:30 - 5:30,Accredited Program,,accredited_program,
Little Eagle Preschool & Child Care,,,,5dfaa4ece79c695b3b30ddbc,Amber Flatt,1475 Gordon Drive,Kingman,AZ,86409,US,littleeaglepreschool@gmail.com,928-757-7888,,4/29/2016,4/29/2018,4/19/2018,4/19/2022,Mohave,145,5,10,M-F,5:30 - 6:00,Accredited Program,,accredited_program,
KinderCare Learning Center #300975,,,,5dfaa4ece79c695b3b30ddbd,Amber Glinton,1812 North Eastern Ave.,Moore,OK,73160,US,300975@kindercare.com;aglinton@kindercare.com,405-799-0344,www.kindercare.com/,11/12/2019,11/12/2021,11/14/2017,11/14/2021,Cleveland,130,6,15,M-F,6:00 - 6:00,Accredited Program,,accredited_program,21-Mar-07
Canadian Valley Child Development Center,,,,5dfaa4ece79c695b3b30ddbe,Amber Peters,6505 E. Highway 66,Yukon,OK,73099,US,petersa@cvtech.edu,405-422-2330,,10/21/2019,10/21/2021,10/31/2017,10/31/2021,Canadian,35,4,7,M-F,7:15 - 5:30,Accredited Program,,accredited_program,11-May-10
Children's Garden of LaBelle,,,,5dfaa4ece79c695b3b30ddbf,Amber Robinson,88 South Main Street,LaBelle,FL,33935,US,amberr@ccswfl.org,863-675-3311,www.ccswfl.org/locations/child-care-center-labelle/,11/21/2016,11/21/2018,10/10/2018,10/10/2022,Hendry,58,5,7,M-F,6:30 - 5:30,Accredited Program,,accredited_program,28-Dec-06
KinderCare Learning Center #301260,,,,5dfaa4ece79c695b3b30ddc0,Amber Rose,1025 Jackson Road,Goodlettsville,TN,37072,US,301260@kindercare.com;amrose@kindercare.com,615-851-1361,www.kindercare.com/,8/29/2012,8/29/2014,1/22/2019,1/22/2023,Sumner,121,4,16,M-F,6:30 - 6:00,Accredited Program,,accredited_program,6-Dec-04
KinderCare Learning Center #301501,,,,5dfaa4ece79c695b3b30ddc1,Amber Simmons,80 S. Constitution Drive,Aurora,IL,60506,US,301501@klcorp.com;asimmons@kindercare.com,630-906-6582,www.kindercare.com/,6/30/2016,6/30/2018,5/8/2018,5/8/2022,Kane,151,8,16,M-F,6:00 - 6:30,Accredited Program,,accredited_program,
The Family Learning Center of Tyler,,,,5dfaa4ece79c695b3b30ddc2,Amber Welguisz,1508 North Haynie Street,Tyler,TX,75702,US,amber.welguisz@tjc.edu,903-593-2295,www.thefamilylearningcenter-tyler.com,6/13/2017,6/13/2019,5/7/2019,5/7/2023,Smith,48,4,15,M-F,7:15-5:15,Accredited Program,,accredited_program,10-Aug-10
"Imagination Station Child Development Center Chipley, Inc.",,,,5dfaa4ece79c695b3b30ddc3,Ami Whittington,983 Main St.,Chipley,FL,32428,US,imaginationst739@bellsouth.net,850-638-0888,,3/1/2019,3/1/2021,9/19/2016,9/19/2020,Washington,127,9,14,M-F,6:00 - 5:30,Accredited Program,,accredited_program,23-Sep-08
Cadence Academy Preschool,,,,5dfaa4ede79c695b3b30ddc4,Amie Bresette,4099 W. Algonquin Road,Algonquin,IL,60102,US,director.algonquin@cadence-academy.com,847-659-1411,rogys.com,10/13/2014,10/13/2016,4/7/2016,4/7/2020,McHenry,181,7,21,M-F,6:00 - 6:30,Accredited Program,,accredited_program,19-Mar-07
KinderCare Learning Center #071233,,,,5dfaa4ede79c695b3b30ddc5,Amie Carey,1300 N. State St.,Augusta,KS,67010,US,071233@kindercare.com,316-775-7503,www.kindercare.com/,11/20/2018,11/20/2020,11/29/2016,11/29/2020,Butler,89,5,9,M-F,6:00 - 6:00,Accredited Program,,accredited_program,23-May-05
Amie McDaniel Child Care Inc.,,,,5dfaa4ede79c695b3b30ddc6,Amie McDaniel,4031 N. Union Ave.,Shawnee,OK,74804,US,amchildcare@att.net,405-275-4000,,9/24/2016,9/24/2018,4/10/2018,4/10/2022,Pottawatomie,125,7,22,M-F,7:00 - 6:00,Accredited Program,,accredited_program,
Grow In Preschool,,,,5dfaa4ede79c695b3b30ddc7,Amy Ackermann,4015 W. Oakridge Road,Orlando,FL,32809,US,amy.ackermann@mycircletime.net,407-351-4900,,3/29/2018,3/29/2020,3/31/2016,3/31/2020,Orange,144,9,21,M-F,6:30 - 6:30,Accredited Program,,accredited_program,19-Oct-05
Southlake Early Care & Education,,,,5dfaa4ede79c695b3b30ddc8,Amy Arrant,8811 Davis Blvd.,Keller,TX,76248,US,southlake@earlycareandeducation.com,817-337-1400,www.earlycareandeducation.com,10/19/2015,10/19/2017,11/28/2017,11/28/2021,Tarrant,241,9,22,M-F,6:30 - 6:30,Accredited Program,,accredited_program,20-Oct-15
Amy Carriveau,,,,5dfaa4ede79c695b3b30ddc9,Sycamore Tree-A Christian Child Care Center,310 North Wilson Ave,Hartford,WI,53027,US,sycamoretreechildcare@gmail.com,262-673-0161,sycamoretreechildcare.org,12/10/2019,12/10/2021,12/15/2017,12/15/2021,Washington,190,13,45,M-F,6:00 - 6:00,Accredited Program,,accredited_program,15-May-13
Caddo Kiowa Tech Center Child Development Center,,,,5dfaa4ede79c695b3b30ddca,Amy Cowan,1415 N. 7th St.,Fort Cobb,OK,73038,US,acowan@mycktc.com,405-643-3247,,11/9/2018,11/9/2020,11/9/2016,11/9/2020,Caddo,120,7,16,M-F,7:30 - 4:30,Accredited Program,,accredited_program,19-Aug-05
Paramount Christian Academy,,,,5dfaa4ede79c695b3b30ddcb,Amy Goodwin,3816 College St. S.E.,Olympia,WA,98503,US,amy@paramountchristian.org,360-878-8915,paramountchristianacademy.org,8/1/2019,8/1/2021,8/2/2017,8/2/2021,Thurston,64,3,10,M-F,5:30 - 6:30,Accredited Program,,accredited_program,
All Saints Episcopal Preschool,,,,5dfaa4ede79c695b3b30ddcc,Amy Lawson,8787 River Road,Richmond,VA,23229,US,anclawson@gmail.com,804-288-7861,www.allsaintspreschool.net,7/2/2019,7/2/2021,7/7/2017,7/7/2021,Henrico,100,6,13,M-F,8:15-2:00,Accredited Program,,accredited_program,6-Jun-08
KinderCare Learning Center #301689,,,,5dfaa4ede79c695b3b30ddcd,Amy Seibert,1255 County Line Road,Westerville,OH,43081,US,301689@klcorp.com;aseibert@kindercare.com,614-901-4000,www.kindercare.com/,6/24/2019,6/24/2021,6/28/2017,6/28/2021,Franklin,132,7,18,M-F,6:30 - 6:00,Accredited Program,,accredited_program,14-May-10
KinderCare Learning Center #300926,,,,5dfaa4ede79c695b3b30ddce,Ana Bernal,60 Plaza St. NE,Leesburg,VA,20176,US,300926@kindercare.com;leesburg@kindercare.com,703-777-1998,www.klcorp.com,10/9/2018,10/9/2020,10/17/2016,10/17/2020,Leesburg,120,6,10,M-F,6:15-6:30,Accredited Program,,accredited_program,1-Mar-11
KinderCare Learning Center #300940,,,,5dfaa4ede79c695b3b30ddcf,Ana D. Rios,4621 Crossborough Road,Virginia Beach,VA,23455,US,300940@kindercare.com,757-499-9343,www.kindercare.com/,11/21/2019,11/21/2021,12/1/2017,12/1/2021,,99,6,15,M-F,6:30 - 6:30,Accredited Program,,accredited_program,1-Nov-04
KinderCare Learning Center #300435,,,,5dfaa4ede79c695b3b30ddd0,Ana Guimaraes,1700 Providence Road,Charlotte,NC,28207,US,300435@klcorp.com,704-366-7180,www.kindercare.com/,7/21/2017,7/21/2019,7/18/2019,7/18/2023,Mac Klenburg,139,9,24,M-F,6:30-6:30,Accredited Program,,accredited_program,30-Nov-09
Mi Casita Day Care Center II,,,,5dfaa4ede79c695b3b30ddd1,Ana M. Trotter,2601 Carman Street,Camden,NJ,8105,US,micasitadaycare2@verizon.net,(856) 541-3372,www.micasitacdc.com,12/22/2016,12/22/2018,7/12/2018,7/12/2022,Camden,90,5,12,M-F,7am-5pm,Accredited Program,,accredited_program,9-Nov-10
RCMA Rollason Infant Child Development Center,,,,5dfaa4ede79c695b3b30ddd2,Ana Neuhauser and Blanca Gonzalez,"402 W. Main Street, Bldg. B",Immokalee,FL,34142,US,blanca@rcma.org,239-658-3597,rcma.org,5/4/2017,5/4/2019,5/15/2019,5/15/2023,Collier,90,9,24,M-F,7:00 - 5:30,Accredited Program,,accredited_program,17-Nov-08
